0x1.011cd7796dc72p+7,0x1.0c39b68724ba2p+7,0x1.2bb9a1a304p+7,0x1.77ba8f78db45ep+7
0x1.01a30ef12c612p+8,0x1.0d3dc6c81dc2fp+7,0x1.17e2250ed39eep+8,0x1.7e22432f039b7p+7
0x1.037bd6be7355bp+8,0x1.0c409b1e2944fp+7,0x1.19d8af366089fp+8,0x1.7dc5d37237278p+7
0x1.0b44a2eb353dep+8,0x1.0f353fdc4055p+7,0x1.21816914cac22p+8,0x1.8024dd5f53086p+7
0x1.0f70a98131fefp+8,0x1.1112c7165a2cap+7,0x1.261f499bec4b2p+8,0x1.844f554e34ac1p+7
0x1.13dbdf5a7a113p+8,0x1.0df1d075f3cb2p+7,0x1.2a95f18a60c21p+8,0x1.816f3e98e1cd7p+7
0x1.1bfb74546cc61p+8,0x1.1407072da9e69p+7,0x1.326373d0bc747p+8,0x1.85ca262b6b028p+7
0x1.1ca6351b1df5p+8,0x1.1683dd1935976p+7,0x1.335b36c1a9828p+8,0x1.89c69fdc7a3a2p+7
0x1.239a32dc60032p+8,0x1.12521c5186a5dp+7,0x1.3a48efe003513p+8,0x1.857ead7bcdb79p+7
0x1.26ae586b58a2ep+8,0x1.1b0b3dacab588p+7,0x1.3d2eb716f592p+8,0x1.8d554fb01387ap+7
0x1.2a352670a841bp+8,0x1.1ab65567d3726p+7,0x1.40c673a2c89e8p+8,0x1.8d3fffbb82c99p+7
0x1.3345b7fd4cdf8p+8,0x1.1a7ef89ed4a51p+7,0x1.49f7487f052fdp+8,0x1.8da82bdb25824p+7
0x1.3313c18e1f777p+8,0x1.1eabca4eb61bep+7,0x1.4a2df08eb428ap+8,0x1.93da507f19fcbp+7
0x1.3ae7e414337f4p+8,0x1.1ad1145161149p+7,0x1.522942ec6131fp+8,0x1.90c16049284b2p+7
0x1.3c9d23a935d0ep+8,0x1.228651ef81a2fp+7,0x1.5422df2ef7e1dp+8,0x1.99c8a7d3097b6p+7
0x1.39b6c1f28bd45p+8,0x1.1e30233ba3f6cp+7,0x1.51e60993363cap+8,0x1.98b8db26522c3p+7
0x1.36956f35dece9p+8,0x1.1d86aca6414fap+7,0x1.4ecde46acb99cp+8,0x1.983cc6d762a11p+7
0x1.29174122e0cbp+8,0x1.21c89df698739p+7,0x1.411dad450e228p+8,0x1.9b874d6f1d524p+7
0x1.1e3e607bc208p+8,0x1.213b3702e726ep+7,0x1.362536181fbdcp+8,0x1.9a5db3fb6f438p+7
0x1.0e88c3053ad3fp+8,0x1.278c4b2add931p+7,0x1.25fa384f55ceep+8,0x1.9e77878bf2e6bp+7
0x1.fb4ab2829f874p+7,0x1.2b37abdb14244p+7,0x1.1458c6998ace9p+8,0x1.9e9079c6a17c5p+7
0x1.e428342867cf7p+7,0x1.2fb41b4219756p+7,0x1.08b8d4a371aa2p+8,0x1.a2d79148f8e1dp+7
0x1.bd93af2fc2ac2p+7,0x1.316068f07f75fp+7,0x1.eac4aa41b2bebp+7,0x1.a440d9c40187dp+7
0x1.a646541bebb4cp+7,0x1.2ece80ccb01dcp+7,0x1.d384e79471908p+7,0x1.a1bf2bf22f15p+7
0x1.835ca5993504ep+7,0x1.3624e0d8f3a07p+7,0x1.b0690edbe4d24p+7,0x1.a89960c537627p+7
0x1.65a19ab0c4d87p+7,0x1.31325bbe8e2a6p+7,0x1.9377b40c8b5a3p+7,0x1.a59a142db597ap+7
0x1.4ee115a53699cp+7,0x1.376b53dbc027dp+7,0x1.7c4a12f1d973p+7,0x1.aaaf7f2b4cdebp+7
0x1.2926f16aca744p+7,0x1.399744766cf6ep+7,0x1.5739bfb6af15ep+7,0x1.aead41809d0a8p+7
0x1.17923554dedfbp+7,0x1.36578ec2459b8p+7,0x1.467cdae8fa86fp+7,0x1.ad9f22168b61p+7
0x1.024fef6982f58p+7,0x1.417c8ccbb0da2p+7,0x1.2f97dde0bfc58p+7,0x1.b499d659f0c05p+7
0x1.e163085e87e58p+6,0x1.3ce2770d65833p+7,0x1.1e72b1e2bbe2cp+7,0x1.b12ccc31f8995p+7
0x1.dd98f820d8a68p+6,0x1.3f4f490ae68f6p+7,0x1.1bdb81bc8e4ccp+7,0x1.b1e050fd3a204p+7
0x1.c2f565ab67eb3p+6,0x1.4466845fa8c59p+7,0x1.0fd001fafc464p+7,0x1.ba19ed7dc12d9p+7
0x1.d2b347bb64895p+6,0x1.43ce510034c62p+7,0x1.168d9e841080ep+7,0x1.b6b52e09d35c8p+7
0x1.daa29089b6008p+6,0x1.4763abf40ca8ep+7,0x1.1b96a300dbb49p+7,0x1.bcef91b9d2deap+7
0x1.d89ce7169b67bp+6,0x1.47251cf6a5ee7p+7,0x1.1bf0b953960c8p+7,0x1.c063da3d38b22p+7
0x1.ecf14efb64ebcp+6,0x1.47571582f9e69p+7,0x1.25e37593c4576p+7,0x1.c01c2c9664acep+7
0x1.f32a4b415555bp+6,0x1.4d674a40c537p+7,0x1.28af08a31ef3fp+7,0x1.c5653c2998547p+7
0x1.02dea694e87b8p+7,0x1.54e7906e0fff5p+7,0x1.30934caf7fe51p+7,0x1.c933f45e8ce2bp+7
0x1.01a313ee4eefep+7,0x1.5907d14f7b095p+7,0x1.2f2d004e7c95bp+7,0x1.ccd9558d431ffp+7
0x1.0ce958ac12acp+7,0x1.55f396b3787cbp+7,0x1.3a45c25232e5ap+7,0x1.c93d6cd0a4f83p+7
0x1.2ee661debfedap+7,0x1.6a9fcd251d3cap+7,0x1.5c5d4ce52495ep+7,0x1.de23d1faffc2p+7
0x1.27961736e6998p+7,0x1.6d2ec5747f328p+7,0x1.54c263c6f7d92p+7,0x1.dffa0b31dba7p+7
0x1.2b6139eb25e39p+7,0x1.6ddd913f4db08p+7,0x1.586fae0db6003p+7,0x1.e05ef253fa386p+7
0x1.260572285776ep+7,0x1.736186b89ffd2p+7,0x1.535ecf69b88c6p+7,0x1.e69c5fbdbf3d8p+7
0x1.25edb23017d0bp+7,0x1.7106d62adf86p+7,0x1.53b410e5b3367p+7,0x1.e54f914ae3732p+7
0x1.2543fd34230b2p+7,0x1.75e59e1aa8894p+7,0x1.530de3f5314aap+7,0x1.ea3717855627cp+7
0x1.208a7e187e481p+7,0x1.743afdc254af8p+7,0x1.4ef589a727a2dp+7,0x1.ea1b6f800cc1p+7
0x1.253eab1c1d94p+7,0x1.74251f141901ep+7,0x1.53b2b4a47ab56p+7,0x1.ea1bd43281accp+7
0x1.1fcd44a4565f4p+7,0x1.798f38f817bcap+7,0x1.4f12a2d8dfebp+7,0x1.f18c3458728f6p+7
0x1.247d7179b0005p+7,0x1.74822335c7f6p+7,0x1.5537a031b8db9p+7,0x1.f01a284e0ce6cp+7
0x1.29abfde192c4cp+7,0x1.7630ed0e2fc4ep+7,0x1.5a762d06702fp+7,0x1.f1f0905753864p+7
0x1.238993457dc26p+7,0x1.7a993c861fc53p+7,0x1.53862bef4d31ep+7,0x1.f45bdde796d09p+7
0x1.2dd2b1d053eaep+7,0x1.76f7543b5f21cp+7,0x1.5e5edf393fb36p+7,0x1.f21d72501be4ap+7
0x1.30f51eb873b68p+7,0x1.7e57226ffe51ep+7,0x1.6195955edd20ap+7,0x1.f9af7a4631a8ap+7
0x1.358b9a1144636p+7,0x1.7d268c2d8948dp+7,0x1.661a8e2634156p+7,0x1.f85389c92cca7p+7
0x1.48e9313ad5288p+7,0x1.805241ae9911cp+7,0x1.79289ad31ff8cp+7,0x1.faba508b6c6f2p+7
0x1.4bed84dcba2d3p+7,0x1.85702f0b9ada8p+7,0x1.7c17f11879e81p+7,0x1.ffa446324763cp+7
0x1.60dd279d09492p+7,0x1.842fcaa429017p+7,0x1.908f06f9b6cdep+7,0x1.fd396a79eb694p+7
0x1.71cf2745716ecp+7,0x1.8a731382723eap+7,0x1.a13e873e7b49ap+7,0x1.016c07e00e86p+8
0x1.7d9c467ff456bp+7,0x1.8cc5fd0281c87p+7,0x1.ac45f77c2d94bp+7,0x1.01a0c49e9dee4p+8
0x1.9a16cbd53428cp+7,0x1.8cddfdb954e9ep+7,0x1.c9456128b2c0cp+7,0x1.025147d7c9e3cp+8
0x1.a1f705137425cp+7,0x1.92eadfed92c7p+7,0x1.d0d4441aeea08p+7,0x1.04f3085bd64bdp+8
0x1.b4b2ac044ba16p+7,0x1.907ff13b86629p+7,0x1.e432efd9718d6p+7,0x1.04875f617cdep+8
0x1.cb8611cc763dep+7,0x1.9341c71d8ca35p+7,0x1.fb28b39bab776p+7,0x1.0612d59e60218p+8
0x1.d7b73c625a775p+7,0x1.94d0607bb7a3p+7,0x1.03b2dcbbd93e4p+8,0x1.06e8cfc3dff05p+8
0x1.ecb1083170d78p+7,0x1.92335788ed314p+7,0x1.0eb53f228a3f9p+8,0x1.06e4c9bd8ac7p+8
0x1.f8eadfccb272cp+7,0x1.97355852f16cfp+7,0x1.14af298a5692bp+8,0x1.090f1eef20b8ap+8
0x1.fb44c16dda515p+7,0x1.945ffc6df03edp+7,0x1.1677510a69a5dp+8,0x1.0924baa89e1abp+8
0x1.03faaf11ad5b8p+8,0x1.960ca583b74b6p+7,0x1.1c61f5a108cdp+8,0x1.08eb8c60d5e5fp+8
0x1.04ae53772eda1p+8,0x1.997700dbac93fp+7,0x1.1d6406071c523p+8,0x1.0b62e37f97048p+8
0x1.051f6514b9586p+8,0x1.98d605c669aebp+7,0x1.1e03589267378p+8,0x1.0b84ea7bfd576p+8
0x1.034ff8f5bbfacp+8,0x1.9d0c3d208e04bp+7,0x1.1bff7fdf5756ep+8,0x1.0d1e3aa2a67dap+8
0x1.f95c1c74b23d4p+7,0x1.9f891ce220ad4p+7,0x1.14823caf423d8p+8,0x1.0c3d98ad6c0c6p+8
0x1.f2039d3293c61p+7,0x1.a40d61ce22212p+7,0x1.0fb4376ba3d66p+8,0x1.0bb24b8262d6bp+8
0x1.e47ea1ba7aa3cp+7,0x1.a94857065d67ep+7,0x1.0877c10b635a3p+8,0x1.0d21ca2870814p+8
0x1.dc82564dd72p+7,0x1.a8a7ee33b54cap+7,0x1.04a2a0aaee67bp+8,0x1.0d37259f916b2p+8
0x1.d0e01a1a65fb6p+7,0x1.aced67e1adad4p+7,0x1.fd9979e762648p+7,0x1.0f4e11e8f0343p+8
0x1.c3480dd439f23p+7,0x1.aefe3d9d63c19p+7,0x1.efb467921c957p+7,0x1.0ff72329677cdp+8
0x1.bd60e9d31d182p+7,0x1.add7b97a559f5p+7,0x1.ea1825b5a468ep+7,0x1.0fc0946cf0a9bp+8
0x1.ad35edf86e58p+7,0x1.b1af7f02d9ecep+7,0x1.da668c11648d2p+7,0x1.1242baf3c19afp+8
0x1.a2ab8939a3a54p+7,0x1.b15dd1f6ad91p+7,0x1.d02098ceae6c8p+7,0x1.126e9ed57019p+8
0x1.99689947a2e3bp+7,0x1.b6ca7fefac526p+7,0x1.c55ab6b85d1c5p+7,0x1.1345f29559f9p+8
0x1.88504c930b9fp+7,0x1.b86c0231c13a6p+7,0x1.b4caaa49b8ecp+7,0x1.14bf5f1dcd70ep+8
0x1.7fda3bcd186cp+7,0x1.b93382b5df56fp+7,0x1.abbb2b98882d8p+7,0x1.14652ffc09f06p+8
0x1.712ba64077d6ep+7,0x1.bad9d8f24391ap+7,0x1.9dc38e4e82f68p+7,0x1.161adc27f87c2p+8
0x1.6b7bcbc526941p+7,0x1.bcad902f759dcp+7,0x1.988d4aea32767p+7,0x1.179b3cfe7a674p+8
0x1.5fe244ee7bc14p+7,0x1.c0573225ddd1bp+7,0x1.8d747b11843ecp+7,0x1.1a0f650f82822p+8
0x1.5de91cca30878p+7,0x1.c02035827e07dp+7,0x1.8c11f9417cf7ap+7,0x1.1aae653b54956p+8
0x1.614f118cc18f9p+7,0x1.c3d216c894b13p+7,0x1.9075a4733e707p+7,0x1.1dc16a15cb38ep+8
0x1.5f1ae5e05c729p+7,0x1.c2812f38af683p+7,0x1.8f8ecd06206e5p+7,0x1.1eb599d1456c2p+8
0x1.63542a18a393p+7,0x1.bca56dbf204b1p+7,0x1.98598d9e9dc0ep+7,0x1.216f77827e144p+8
0x1.629d60367529dp+7,0x1.b70f73105e905p+7,0x1.9cfdc5c98ad63p+7,0x1.2545b11abea68p+8
0x1.65fbd9b16e2eap+7,0x1.b7bfe645fa1f6p+7,0x1.9fb565d92c14cp+7,0x1.24cf5e6752968p+8
0x1.6918fcf47e85ap+7,0x1.b76ed2c0dc90fp+7,0x1.a2f8f178de28p+7,0x1.24d6607033026p+8
0x1.6b5f92cd5728fp+7,0x1.b397af7fad88p+7,0x1.a866bf7c334dbp+7,0x1.26d2172c7a15p+8
0x1.6cce1d4ebb201p+7,0x1.b61b35c165729p+7,0x1.a7bd2dba48dbdp+7,0x1.257c2f3f363aep+8
0x1.7045d066c69a1p+7,0x1.af677f90f0589p+7,0x1.b091ff3365973p+7,0x1.28c627fa42a9ep+8
0x1.7372da831f6adp+7,0x1.b430a982e935fp+7,0x1.b16dbb7ce0953p+7,0x1.284c44a3b12ap+8
0x1.739abb88b6182p+7,0x1.b361f47bc8215p+7,0x1.b235ad769842p+7,0x1.28ab10ce04b09p+8
0x1.785031d5d478cp+7,0x1.aecfc32741693p+7,0x1.ba9e242c2ed7ep+7,0x1.2af64af554f98p+8
0x1.7a0e10bc9550dp+7,0x1.b3cf512a7e8p+7,0x1.b86d9599c50e5p+7,0x1.28982e6824e64p+8
0x1.7b911443dd155p+7,0x1.b47781a418792p+7,0x1.b952c909bbbf7p+7,0x1.2828ea14e51fdp+8
0x1.828099a158578p+7,0x1.b40450a61a8dfp+7,0x1.c0b3976143824p+7,0x1.287b8ed215e2p+8
0x1.8045f5734c145p+7,0x1.b30a4232c096fp+7,0x1.bf41d9ccacf9fp+7,0x1.28f73b2d32b56p+8
0x1.85985b012acb7p+7,0x1.b1dfba6b46217p+7,0x1.c55f26f799425p+7,0x1.295d25f1d1d4ep+8
0x1.89544fe22d867p+7,0x1.b485019ed807cp+7,0x1.c723710270de3p+7,0x1.2840480ae6daep+8
0x1.8cc4fedf7afc1p+7,0x1.b42e4b27a40ffp+7,0x1.caa49c0041ac3p+7,0x1.282954e28ea86p+8
0x1.8f72a2c65fce8p+7,0x1.b2d079c0ae9c2p+7,0x1.ce626d99e26c4p+7,0x1.28cb5c6e65526p+8
0x1.96fec79602d4ep+7,0x1.b830b689c310bp+7,0x1.d1cb3f43a86aap+7,0x1.265c1b9842b2fp+8
0x1.95d7cb41b9a58p+7,0x1.b83dffd9ab60bp+7,0x1.d08b574d7d8c6p+7,0x1.2643e6b343d92p+8
0x1.9b232f792313bp+7,0x1.b8a2b7f01a52ep+7,0x1.d5844332d63edp+7,0x1.26102b20dab46p+8
0x1.9d9d6fe593334p+7,0x1.bb19db2a2877ap+7,0x1.d63030f62b5fcp+7,0x1.250f69ba7a66ap+8
0x1.9f570870ade2p+7,0x1.b909bca4bb5fep+7,0x1.d9aef694da2cep+7,0x1.26385ac2694b6p+8
0x1.a2b74a0dd886ep+7,0x1.bcfbf326e82c8p+7,0x1.d9dbb15b9569ep+7,0x1.243af15575eacp+8
0x1.a698bc7b6266ap+7,0x1.bc587616ac19ap+7,0x1.de436fb870db6p+7,0x1.248f72d239306p+8
0x1.a9b835926f1f8p+7,0x1.be79656154b92p+7,0x1.dff7f06d90e08p+7,0x1.23de955bcd69cp+8
0x1.a9415c30b50f7p+7,0x1.be41079f59c1ep+7,0x1.dfbfd10415cd1p+7,0x1.24100d27357eap+8
0x1.af75824a94d0fp+7,0x1.be5f657652515p+7,0x1.e5dd61fbe0c39p+7,0x1.2403476c79fcbp+8
0x1.ace48d4373d9cp+7,0x1.bd09e73e8adep+7,0x1.e439a6e3f25c2p+7,0x1.247e33d6f073bp+8
0x1.aeb06bcdfaf2cp+7,0x1.b7be2fac775eep+7,0x1.ea3fd26ebd1cep+7,0x1.2714289e06e16p+8
0x1.b14ddaace7eb8p+7,0x1.b90eaa5fe812p+7,0x1.ec45135318148p+7,0x1.270002a454ac1p+8
0x1.aaf013dcc9303p+7,0x1.bc8693470a84p+7,0x1.e317bd4126c23p+7,0x1.2541330c54206p+8
0x1.a26fc80f58a06p+7,0x1.b3af6ce4a10bbp+7,0x1.df8ef1a17622cp+7,0x1.26fba7df33ee4p+8
0x1.9dcfd83a2fa59p+7,0x1.bc09e3dca14dcp+7,0x1.d5e00bc5d05a7p+7,0x1.24e5d082d1ffap+8
0x1.8cda3b4083e1cp+7,0x1.b762631618802p+7,0x1.c7e87cf09c82cp+7,0x1.26466321585a5p+8
0x1.82d0dae62a3ccp+7,0x1.adc7daa2800f3p+7,0x1.c34ede3f285cp+7,0x1.28340540179b1p+8
0x1.7197bf495da6cp+7,0x1.abbd37e5eb5cbp+7,0x1.b33e9c7ef70e6p+7,0x1.289e2f1c23c46p+8
0x1.5ccf994012cbp+7,0x1.a304545bcd2ep+7,0x1.a53ff3ae0f67cp+7,0x1.2ca8a2056be7p+8
0x1.4cae6139556bp+7,0x1.9e7bb6f078572p+7,0x1.97e3463c72724p+7,0x1.2dd1738db88f1p+8
0x1.2f652dbb2d3e7p+7,0x1.91b66ba1157d4p+7,0x1.81065141b5ba5p+7,0x1.2f624444f1a4ep+8
0x1.195590e421b7bp+7,0x1.83faf5ce9d167p+7,0x1.7102675f5991bp+7,0x1.30007b8d185bp+8
0x1.242f813ec56a2p+6,0x1.70a6e7403648bp+7,0x1.cdcb921cf01dep+6,0x1.22c8d0d6d1228p+8
0x1.1dea2c8087ee7p+6,0x1.67fba6a6713f3p+7,0x1.c757551edba2dp+6,0x1.1e5627d754ed4p+8
0x1.0ba48d4b3d6dbp+6,0x1.64d146c530a2bp+7,0x1.b7f54b405b2e1p+6,0x1.1e8abecb44ceap+8
0x1.032c3373c88e6p+6,0x1.5bcd11eaecacep+7,0x1.afb7e93f59316p+6,0x1.1a2d242d6dd36p+8
0x1.05e14cbb1935ap+6,0x1.548b8015d5c53p+7,0x1.b33a0567dbb3p+6,0x1.170b4060a4486p+8
0x1.f7fa7941de5e8p+5,0x1.4a4f4a61910a6p+7,0x1.ab6a9eff168b2p+6,0x1.1336d8c5b11a2p+8
0x1.07da38ce4ccbp+6,0x1.3fc5a2ba9eaffp+7,0x1.b8046d1250c12p+6,0x1.0e66e475b3422p+8
0x1.0596505f04324p+6,0x1.370adc64ba4ap+7,0x1.b833b5e16e058p+6,0x1.0b8db73cb432cp+8
0x1.194e952ba7d5bp+6,0x1.263d60de7915ep+7,0x1.cee111ffd0c61p+6,0x1.04fb968f9d571p+8
0x1.1ce6a69c19c74p+6,0x1.2179f8d297254p+7,0x1.d31114846ebe4p+6,0x1.02f7ee81749acp+8
0x1.19bb17678743ap+6,0x1.152c3e759febp+7,0x1.d07e1935fd45ap+6,0x1.fa5f0424ef65p+7
0x1.4263cf45ede9bp+6,0x1.08cfc588d6ab7p+7,0x1.fb1611493733dp+6,0x1.f067a16fbe6e5p+7
0x1.42468accd4f94p+6,0x1.04fb0482a0735p+7,0x1.fc32a08998ca2p+6,0x1.ee175f85bcf67p+7
0x1.52a420d9e817ap+6,0x1.e97b32330d441p+6,0x1.074c801d889c3p+7,0x1.e05ea73ac5324p+7
0x1.727384f159dabp+6,0x1.db45563088a47p+6,0x1.17e84dd6be825p+7,0x1.db01a58eb4ba3p+7
0x1.700d3c5481b2bp+6,0x1.ca3a9c9ab1881p+6,0x1.173ce333d0bbap+7,0x1.d3cc525028f78p+7
0x1.8c8741aa644e2p+6,0x1.b0c4247a5bfc2p+6,0x1.25cb89224df36p+7,0x1.c7db35fb658a8p+7
0x1.9bfad4d5bed55p+6,0x1.aa658a7beabe9p+6,0x1.2d3ef50429d98p+7,0x1.c3fdb182a2c75p+7
0x1.a9d74c82b75dep+6,0x1.962b1a55c8a6p+6,0x1.33a8de57eebfep+7,0x1.b898dcc25f917p+7
0x1.c65e0ce3bc4a3p+6,0x1.8786474b067ebp+6,0x1.41aa8431462aap+7,0x1.b0a3b7828b80dp+7
0x1.c7701ce713129p+6,0x1.7f5e6bc3d0d65p+6,0x1.42779e93e7573p+7,0x1.ad385316524e2p+7
0x1.e7858e03835adp+6,0x1.7146256280db4p+6,0x1.50bfb6d3bd58cp+7,0x1.a1d07f7bfd5ffp+7
0x1.f00aa26e67099p+6,0x1.7479c3e29153ap+6,0x1.54a0e29ac8268p+7,0x1.a2793c48c024ep+7
0x1.013640c36bf9ep+7,0x1.673e9de416658p+6,0x1.5d557352b50dap+7,0x1.9aa7bcae317a2p+7
0x1.0d559b7889db5p+7,0x1.620ea2ddfc292p+6,0x1.692ef581bb2fbp+7,0x1.9762d16d062c5p+7
0x1.0ef358c4e0dfep+7,0x1.623e205a6bbf2p+6,0x1.6ac6ae98a04eap+7,0x1.976baad25a25bp+7
0x1.20a211788fa47p+7,0x1.56a7081ee9174p+6,0x1.7c55325b2fca5p+7,0x1.9150615a119dap+7
0x1.249b78b672772p+7,0x1.5d40249385014p+6,0x1.8071602c2daecp+7,0x1.94f3092471dacp+7
0x1.296e1a28e3215p+7,0x1.54c86db9dc62dp+6,0x1.8582c54cd8165p+7,0x1.9152931b5b0e6p+7
0x1.3a74324fcdb5fp+7,0x1.51fa19b660cf1p+6,0x1.9680ed4e66453p+7,0x1.8fd7c1c88a9c6p+7
0x1.39e695ad9ec7ap+7,0x1.54fbeea7c8d21p+6,0x1.965eed34aff0ap+7,0x1.92631aac1b96ep+7
0x1.4a713208108ffp+7,0x1.4c1c5aecca904p+6,0x1.a697697f00991p+7,0x1.8d27fc16dda89p+7
0x1.4c37d1db3d3cbp+7,0x1.550ec7d2e33bp+6,0x1.a842874c681bbp+7,0x1.915d17731ae9bp+7
0x1.4d55734a72af2p+7,0x1.4cf70b58cd40ep+6,0x1.a95f0cf120702p+7,0x1.8d4e7a9557c38p+7
0x1.587db046fabc9p+7,0x1.4b54b984c59ddp+6,0x1.b4da25159eaebp+7,0x1.8d4a759aa2256p+7
0x1.5497ca59e1716p+7,0x1.4e1ea8e3c4189p+6,0x1.b0f0e4fc79a36p+7,0x1.8ea7209288b14p+7
0x1.5c69336230066p+7,0x1.40c4e2e88e43cp+6,0x1.b8812bb4e01bp+7,0x1.8758fa4145bfcp+7
0x1.614bb712db586p+7,0x1.468823c82ca28p+6,0x1.bce2ad6f88484p+7,0x1.88fb32e895458p+7
0x1.601f96b4c52cap+7,0x1.3eb8fedeb6f01p+6,0x1.bbfb932188718p+7,0x1.85be851f5d4dbp+7
0x1.6a7c1c8a11d0ep+7,0x1.35ca1a26b9948p+6,0x1.c586c7e2b174p+7,0x1.7f40d5674dac4p+7
0x1.67efa81caa537p+7,0x1.379d8938d39e8p+6,0x1.c29a618771cbdp+7,0x1.7f3d00f245e58p+7
0x1.6d1960620fecp+7,0x1.2d1628c8e5599p+6,0x1.c65d0c0648bb6p+7,0x1.768058d443f68p+7
0x1.741aa5dbfde4bp+7,0x1.2afb3b82d64ap+6,0x1.cd9a06c02e4adp+7,0x1.7606b663da9e5p+7
0x1.72c5067a2ea7p+7,0x1.263eb319d7574p+6,0x1.cc3ffb46bfa8ap+7,0x1.739d7f4754904p+7
0x1.79af36c2eea7p+7,0x1.1bd75806a7af3p+6,0x1.d3af4a09a25aap+7,0x1.6fb3676933dc5p+7
0x1.7d6b99d6b8798p+7,0x1.1d1f6a154690ep+6,0x1.d7524d3ae3b0ep+7,0x1.70189d834af32p+7
0x1.7f508a9a039bap+7,0x1.197009ee4a55dp+6,0x1.d8eeb9f7e9eaep+7,0x1.6d8d63707daf3p+7
0x1.87e689d22ea6fp+7,0x1.11c9c152f2f82p+6,0x1.e1ab5c06f0a59p+7,0x1.6a19e781ee754p+7
0x1.88a26f22c9d5fp+7,0x1.132d52db9a563p+6,0x1.e248fedd362a1p+7,0x1.6a80c50cc3812p+7
0x1.8d89f85d2fdf2p+7,0x1.0fe15d636563cp+6,0x1.e6fb248924624p+7,0x1.68569b4e4d4e2p+7
0x1.90c6c648f8af3p+7,0x1.117698a1bcd96p+6,0x1.e87143eb08979p+7,0x1.64bb7dfe1ba98p+7
0x1.996266fd64c98p+7,0x1.1176efc369223p+6,0x1.ef6e7f6435cecp+7,0x1.60b9acf7cc0cp+7
0x1.9bdc769da56adp+7,0x1.123cc571cb08cp+6,0x1.f086fdc92b9a7p+7,0x1.5db1355ea37ccp+7
0x1.a1673651b234p+7,0x1.10888a83c0ffp+6,0x1.f4fca8257d466p+7,0x1.5a29129aeeda2p+7
0x1.a627d6dadc565p+7,0x1.09ad86efe4beap+6,0x1.f94b61c112053p+7,0x1.55a18f47c044dp+7
0x1.a92306843a69fp+7,0x1.06df6d7cb2e14p+6,0x1.fbdec56a940abp+7,0x1.533985e6f6538p+7
0x1.ab5b4e2ae5405p+7,0x1.ff45da0c59c6cp+5,0x1.fe7880bb74608p+7,0x1.508c8cb149e6ep+7
